# Table 3 from Nomoto et al 2006
# IMF weighted SNII yields
# has yields for different metallicities
#
# A     name    Z=0             Z=0.001         Z=0.004         Z=0.02
01		p		3.28E-02		3.14E-02		2.96E-02		2.45E-02
02		d		5.76E-18		2.21E-15		1.97E-16		5.34E-16
03		He		2.51E-07		5.24E-07		6.52E-07		7.06E-07
04		He		2.30E-02		2.26E-02		2.22E-02		2.05E-02
06		Li		1.70E-20		1.52E-19		6.49E-19		1.76E-18
07		Li		8.67E-12		6.67E-13		3.14E-15		5.85E-14
09		Be		1.25E-20		7.74E-19		6.54E-19		7.26E-19
10		B		1.86E-17		2.38E-14		1.47E-13		4.25E-13
11		B		5.00E-16		1.05E-13		1.12E-11		1.83E-12
12		C		7.51E-04		4.14E-04		5.17E-04		6.75E-04
13		C		1.75E-10		4.33E-07		2.80E-05		3.06E-05
14		N		3.36E-06		2.82E-05		8.77E-05		2.35E-04
15		N		5.17E-10		1.35E-08		2.41E-05		1.90E-05
16		O		8.03E-03		8.05E-03		6.58E-03		6.14E-03
17		O		3.45E-09		1.42E-07		8.36E-07		3.60E-06
18		O		5.69E-09		2.24E-06		2.70E-05		5.29E-05
19		F		3.49E-11		6.76E-09		4.98E-08		1.08E-07
20		Ne		1.28E-03		1.38E-03		1.57E-03		1.68E-03
21		Ne		1.05E-07		6.66E-07		1.62E-06		4.95E-06
22		Ne		7.53E-08		3.39E-06		8.01E-06		2.79E-05
23		Na		4.46E-06		8.18E-06		2.03E-05		5.41E-05
24		Na		5.69E-04		6.69E-04		4.88E-04		4.06E-04
25		Mg		9.62E-07		5.62E-06		1.59E-05		6.08E-05
26		Mg		9.19E-07		5.04E-06		1.57E-05		5.68E-05
27		Al		1.27E-05		2.49E-05		2.95E-05		6.53E-05
28		Si		8.11E-04		7.09E-04		6.17E-04		4.55E-04
29		Si		3.03E-06		5.90E-06		7.62E-06		1.88E-05
30		Si		3.40E-06		7.40E-06		9.24E-06		2.12E-05
31		P		1.28E-06		2.34E-06		2.14E-06		5.54E-06
32		S		3.12E-04		2.86E-04		2.50E-04		1.96E-04
33		S		8.06E-07		1.03E-06		1.17E-06		1.62E-06
34		S		1.70E-06		3.20E-06		6.09E-06		1.31E-05
36		S		3.84E-11		1.98E-09		1.48E-08		8.19E-08
